numflag;category;description
999;M;Missing measurement, unspecified reason
990;M;Precipitation not measured due to snow-fall. Needed for historic data, should not be needed for new data
980;M;Missing due to calibration or zero/span check
900;H;Hidden and invalidated by data originator
899;M;Measurement undefined, unspecified reason
890;M;Concentration in precipitation undefined, no precipitation
799;I;Measurement missing (unspecified reason), data element contains estimated value
798;V;Measurement missing (unspecified reason), data element contains estimated value. Considered valid.
797;V;Data element taken from co-located instrument
784;I;Low precipitation, concentration estimated
783;M;Low precipitation, concentration unknown
782;V;Low precipitation, concentration estimated
781;V;Value below detection limit, data element contains detection limit
780;V;Value below detection or quantification limit, data element contains estimated or measured value. Use of flag 147 is encouraged.
771;V;Value above range, data element contains upper range limit
770;V;Value above range, data element contains estimated value
760;V;Value estimated by summing up the constituents measured
750;M;H+ not measured in alkaline sample
741;V;Non refractory AMS concentrations. Don't include compounds that volatalises above 600 deg C
740;V;Probably biased gas/particle ratio
701;I;Less accurate than usual, unspecified reason. (Used only with old data, for new data see groups 6 and 5)
699;I;Mechanical problem, unspecified reason
685;I;Invalid due to secondary standard gas measurement. Used for Level 0.
684;I;Invalid due to zero/span check. Used for Level 0.
683;I;Invalid due to calibration. Used for Level 0.
682;I;Invalid due to calibration or zero/span check. Used for Level 0.
681;I;Low data capture
680;V;Undefined wind direction
679;V;Unspecified meteorological condition
678;V;Hurricane
677;I;Icing or hoar frost in the intake
676;V;station inside cloud (visibility < 1000 m)
675;V;no visibility data available
674;V;Icing or hoar frost in the intake, considered valid
670;I;Incomplete data acquisition for multi-component data sets
669;I;Moist or wet filter, invalid
668;V;Moist or wet filter, valid
666;I;Filter damaged, invalid
665;V;Filter damaged, valid
664;I;Instrument flow(s) too far off target value, considered invalid
663;I;Too high sampling flow, data considered invalid
662;V;Too high sampling flow, data considered valid
660;V;Unspecified sampling anomaly, considered valid
659;I;Unspecified sampling anomaly
658;I;Too small air volume
657;V;Precipitation collector overflow. Heavy snowfall/rain shower (squall)
656;V;Wet-only collector failure, operated as bulk collector
655;V;Estimated value created by averaging or splitting samples
654;V;Sampling period longer than normal, considered representative. Observed values reported
653;V;Sampling period shorter than normal, considered representative. Observed values reported
652;V;Construction/acitivity nearby
651;V;Agricultural activity nearby
650;V;Precipitation collector failure
649;V;Temporary power fail has affected sampler operation
648;V;Snow sampler
647;V;Fire/wood burning nearby
646;I;Exceptional traffic nearby
645;V;Exceptional traffic nearby
644;V;Low instrument precision and/or calibration issues
641;I;Aerosol filters installed incorrectly
640;V;Instrument internal relative humidity above 40%
635;I;Internal temperatures too far off target value, considered invalid
632;V;Lid of polyurethane foam (PUF) sampler not closed
630;V;POP concentration from the polyurethane foam (PUF) only
599;I;Unspecified contamination or local influence
593;I;Industrial contamination, considered invalid
591;I;Agricultural contamination, considered invalid
578;I;Large sea salt contribution (ratio between marine and excess sulphate is larger than 2.0). Used for old data only. For newer data use 451/450.
568;I;Dust contamination, considered invalid
567;I;Insect contamination, considered invalid
566;I;Bird droppings, considered invalid
565;I;Pollen and/or leaf contamination, considered invalid
559;V;Unspecified contamination or local influence, but considered valid
558;V;Dust contamination, but considered valid
557;V;Insect contamination, but considered valid
556;V;Bird droppings, but considered valid
555;V;Pollen and/or leaf contamination, but considered valid
549;I;Impure chemicals
541;I;Gold trap passiviated by unknown compound
540;I;Spectral interference in laboratory analysis
534;I;Wrong coated denuder used
533;I;Filters mixed up. Incorrect analysis
532;V;Data less accurate than normal due to high field blank value
531;V;Low recovery, analysis inaccurate
530;I;Invalid due to too low or too high recovery
521;V;Bactericide was added to sample for storage under warm climate. Considered valid
499;V;Inconsistent with another unspecified measurement
498;V;Gold trap inconsistency in mercury monitor
478;I;Invalid due to inconsistency discovered through ion balance calculations
477;I;Invalid due to inconsistency between measured and estimated conductivity
476;V;Inconsistency discovered through ion balance calculations, but considerd valid
475;V;Inconsistency between measured and estimated conductivity, but considerd valid
471;I;Particulate mass concentration higher than parallell mass concentration measurement with higher cut off i.e.,PM1_mass > PM25_mass and PM25_mass > PM10_mass. Considered invalid.
